"record_id","hospital_id","hospital_name","department","resource_type","resource_subtype","date","shift","resource_capacity","resource_in_use","resource_available","forecasted_demand","surge_capacity","utilization_rate","unit_cost","total_cost","notes","last_updated"
"REC0001","H001","Green Valley Medical Center","ICU","bed","ICU Bed","2024-06-01","morning","30","28","2","31","38","0.933","8500","238000","Near full occupancy, surge likely needed.","2024-06-01T08:45:12"
"REC0002","H002","Riverside General Hospital","Emergency","nurse","ER Nurse","2024-06-01","afternoon","12","13","0","14","15","1.083","72.5","942.5","Overutilization: staff covering multiple roles.","2024-06-01T13:22:59"
"REC0003","H003","Northside Regional Health","Surgery","doctor","Surgeon","2024-06-01","afternoon","7","6","1","7","8","0.857","315","1890","All scheduled procedures covered.","2024-06-01T15:03:21"
"REC0004","H004","Sunrise Children's Hospital","Pediatrics","PPE","Child Surgical Mask","2024-06-01","morning","800","250","550","260","1200","0.313","1.75","437.5","Stocked in advance for seasonal spikes.","2024-06-01T09:30:00"
"REC0005","H005","Central City Medical Campus","ICU","ventilator","LifeSupport Ventilator","2024-06-01","night","10","9","1","10","13","0.9","11500","103500","All ventilators in use except one on standby.","2024-06-01T22:02:18"
"REC0006","H001","Green Valley Medical Center","Emergency","PPE","N95 Mask","2024-06-01","night","1200","1000","200","1100","1500","0.833","2.2","2200","Critical low stock, resupply ordered.","2024-06-01T23:55:35"
"REC0007","H002","Riverside General Hospital","ICU","nurse","ICU Nurse","2024-06-01","morning","18","18","0","19","20","1","80","1440","All ICU nurses on shift, full occupancy.","2024-06-01T06:58:41"
"REC0008","H003","Northside Regional Health","Surgery","monitor","Cardiac Monitor","2024-06-01","afternoon","4","2","2","3","5","0.5","1250","2500","No equipment failures reported.","2024-06-01T16:37:55"
"REC0009","H004","Sunrise Children's Hospital","Pediatrics","nurse","Pediatric Nurse","2024-06-02","morning","11","8","3","9","13","0.727","68","544","Several staff on leave this week.","2024-06-02T09:10:26"
"REC0010","H005","Central City Medical Campus","Emergency","doctor","ER Physician","2024-06-02","full_day","8","9","0","9","10","1.125","192","1728","Doctors covering double shifts due to incident.","2024-06-02T18:45:20"
"REC0011","H006","Lakeshore Medical Pavilion","ICU","PPE","Face Shield","2024-06-02","night","1000","750","250","800","1300","0.75","2.1","1575","Surge likely needed if trend continues.","2024-06-02T23:02:45"
"REC0012","H007","Liberty Memorial Hospital","Surgery","other","Surgical Robot","2024-06-02","afternoon","1","1","0","1","1","1","2500000","2500000","High-cost, fully utilized.","2024-06-02T13:30:11"
"REC0013","H008","Willowbrook Health Center","Pediatrics","monitor","Neonatal Monitor","2024-06-02","morning","3","1","2","2","4","0.333","2250","2250","One monitor on standby for emergencies.","2024-06-02T10:05:17"
"REC0014","H009","Summit Hills Hospital","ICU","ventilator","Portable Ventilator","2024-06-02","full_day","7","8","0","9","10","1.143","9500","76000","Emergency overutilization due to local outbreak.","2024-06-02T19:45:33"
"REC0015","H010","Maplewood Medical Institute","Emergency","PPE","Nitrile Gloves","2024-06-02","morning","1500","1120","380","1200","2000","0.747","0.85","952","Stocked in advance.","2024-06-02T09:14:56"
"REC0016","H001","Green Valley Medical Center","Surgery","doctor","","2024-06-03","afternoon","6","3","3","4","7","0.5","295","885","Low demand, some doctors on rotation.","2024-06-03T15:00:00"
"REC0017","H002","Riverside General Hospital","ICU","nurse","","2024-06-03","night","20","16","4","17","22","0.8","80","1280","Night shift under standard capacity.","2024-06-03T23:44:11"
"REC0018","H003","Northside Regional Health","Pediatrics","PPE","Child Face Shield","2024-06-03","night","950","600","350","650","1100","0.632","1.95","1170","Usage increasing with local flu reports.","2024-06-03T22:09:43"
"REC0019","H004","Sunrise Children's Hospital","Emergency","doctor","ER Physician","2024-06-03","morning","9","9","0","10","11","1","198","1782","All ER doctors on duty.","2024-06-03T08:50:15"
"REC0020","H005","Central City Medical Campus","ICU","bed","ICU Bed","2024-06-03","full_day","34","33","1","34","40","0.971","8900","293700","Near full occupancy.","2024-06-03T20:21:17"
"REC0021","H006","Lakeshore Medical Pavilion","Surgery","monitor","","2024-06-03","afternoon","5","3","2","4","7","0.6","2100","6300","All monitors operational.","2024-06-03T13:00:00"
"REC0022","H007","Liberty Memorial Hospital","ICU","bed","ICU Bed","2024-06-03","night","27","25","2","27","31","0.926","8400","210000","Bed occupancy remains high.","2024-06-03T23:02:01"
"REC0023","H008","Willowbrook Health Center","Emergency","PPE","","2024-06-03","night","1050","780","270","900","1300","0.743","2","1560","Flu season expected to increase usage.","2024-06-03T22:33:47"
"REC0024","H009","Summit Hills Hospital","Surgery","doctor","Anesthesiologist","2024-06-04","afternoon","5","2","3","3","6","0.4","340","680","No surgeries scheduled this shift.","2024-06-04T13:45:32"
"REC0025","H010","Maplewood Medical Institute","ICU","ventilator","","2024-06-04","morning","7","6","1","7","9","0.857","10150","60900","One ventilator undergoing maintenance.","2024-06-04T08:12:06"
"REC0026","H001","Green Valley Medical Center","Pediatrics","nurse","Pediatric Nurse","2024-06-04","morning","13","11","2","12","15","0.846","66","726","Sick leave affecting staff.","2024-06-04T09:22:19"
